OD,Dia.,Lg. Max,Min.,Max.,"Rate, lbs./mm",Rate N/mm,Material,Pkg. Qty.,Part Number,Pkg.,Lg.
4.572,0.7874,38.862,0.6,6.8,0.598425197,2.661927896,Music-Wire Steel,5,5108N181,15.07,28.58
4.572,0.8636,36.83,0.81,8.97,0.984251969,4.378170881,Music-Wire Steel,5,5108N194,15.1,28.58
6.096,0.5588,73.152,0.19,2.07,0.043307087,0.192639519,Music-Wire Steel,5,5108N211,15.67,28.58
6.096,0.6604,58.674,0.3,3.3,0.098425197,0.437817088,Music-Wire Steel,5,5108N225,17.32,28.58
6.096,0.7366,51.308,0.4,4.5,0.177165354,0.788070759,Music-Wire Steel,5,5108N239,15.67,28.58
6.096,0.7874,48.006,0.5,5.3,0.255905512,1.138324429,Music-Wire Steel,5,5108N255,15.97,28.58
6.096,0.8636,43.688,0.65,7,0.417322835,1.856344454,Music-Wire Steel,5,5108N273,15.67,28.58
6.096,0.9398,41.021,0.8,8.7,0.645669291,2.872080098,Music-Wire Steel,3,9044K145,5.89,28.58
6.096,1.0414,37.846,1.05,11.65,1.137795276,5.061165539,Music-Wire Steel,5,5108N303,15.67,28.58
7.62,0.7874,55.626,0.39,4.39,0.145669291,0.64796929,Music-Wire Steel,5,5108N318,15.67,28.58
7.62,0.9398,46.355,0.65,7.2,0.37007874,1.646192251,Music-Wire Steel,3,9044K102,9.12,28.58
7.62,1.2446,37.338,1.4,15.6,1.614173228,7.180200245,Music-Wire Steel,5,5108N336,17.32,28.58
7.62,1.397,35.052,1.92,21.31,2.992125984,13.30963948,Music-Wire Steel,5,5108N347,15.97,28.58
9.144,0.6604,75.692,0.2,2.25,0.043307087,0.192639519,Music-Wire Steel,5,5108N354,17.32,28.58
9.144,0.7874,62.992,0.33,3.69,0.094488189,0.420304405,Music-Wire Steel,5,5108N361,17.32,28.58
9.144,0.9906,47.498,0.63,7.02,0.334645669,1.4885781,Music-Wire Steel,5,5108N4,16.27,28.58
9.144,1.0414,46.99,0.7,7.9,0.38976378,1.733755669,Music-Wire Steel,5,5108N412,15.97,28.58
9.144,1.143,42.926,0.9,10.2,0.645669291,2.872080098,Music-Wire Steel,5,5108N426,16.27,28.58
9.144,1.4732,35.814,1.89,21.02,2.566929134,11.41826966,Music-Wire Steel,5,5108N466,15.95,28.58
10.668,0.9398,50.292,0.5,5.2,0.216535433,0.963197594,Music-Wire Steel,5,5108N483,16.87,28.58
10.668,1.143,42.926,0.82,9.06,0.566929134,2.521826428,Music-Wire Steel,5,5108N494,16.87,28.58
10.668,1.397,37.846,1.4,15.8,1.527559055,6.794921208,Music-Wire Steel,5,5108N505,16.87,28.58
3.048,0.3556,72.898,0.1,1.12,0.023622047,0.105076101,Music-Wire Steel,5,5108N07,10.97,31.75
3.048,0.4064,58.674,0.2,1.6,0.051181102,0.227664886,Music-Wire Steel,5,5108N078,11.95,31.75
3.048,0.4572,51.562,0.2,2.2,0.098425197,0.437817088,Music-Wire Steel,5,5108N085,11.4,31.75
4.572,0.3556,126.746,0.07,0.77,0.007874016,0.035025367,Music-Wire Steel,5,5108N118,15.67,31.75
4.572,0.4572,82.804,0.14,1.55,0.027559055,0.122588785,Music-Wire Steel,5,5108N12,15.67,31.75
4.572,0.508,71.12,0.19,2.08,0.047244094,0.210152202,Music-Wire Steel,5,5108N127,17.32,31.75
4.572,0.5588,61.722,0.2,2.6,0.078740157,0.35025367,Music-Wire Steel,5,5108N136,15.67,31.75
4.572,0.6096,56.642,0.31,3.45,0.125984252,0.560405873,Music-Wire Steel,5,5108N148,15.67,31.75
4.572,0.6604,51.054,0.4,4.2,0.200787402,0.89314686,Music-Wire Steel,5,5108N161,16.27,31.75
4.572,0.7366,46.736,0.52,5.82,0.354330709,1.576141517,Music-Wire Steel,5,5108N169,16.27,31.75
4.572,0.7874,43.688,0.6,6.8,0.515748031,2.294161542,Music-Wire Steel,5,5108N182,16.27,31.75
4.572,0.8636,41.402,0.81,8.97,0.850393701,3.782739641,Music-Wire Steel,5,5108N195,15.67,31.75
4.7752,0.5842,50.546,0.53,2.33,0.097244094,0.432563283,Zinc-Plated Spring-Tempered Steel,12,9654K102,8.06,31.75
6.096,0.4572,118.11,0.11,1.18,0.011811024,0.052538051,Music-Wire Steel,3,9044K85,5.89,31.75
6.096,0.5588,85.09,0.19,2.07,0.035433071,0.157614152,Music-Wire Steel,5,5108N212,17.32,31.75
6.096,0.6604,67.056,0.3,3.3,0.082677165,0.367766354,Music-Wire Steel,5,5108N226,15.97,31.75
6.096,0.7366,58.928,0.4,4.5,0.149606299,0.665481974,Music-Wire Steel,5,5108N24,15.67,31.75
6.096,0.7874,54.356,0.5,5.3,0.208661417,0.928172227,Music-Wire Steel,5,5108N256,16.27,31.75
6.096,0.8636,49.784,0.65,7,0.350393701,1.558628834,Music-Wire Steel,5,5108N274,15.67,31.75
6.096,0.9398,45.974,0.8,8.7,0.551181102,2.451775693,Music-Wire Steel,5,5108N289,15.67,31.75
6.096,1.0414,42.672,1.05,11.65,0.964566929,4.290607464,Music-Wire Steel,5,5108N304,15.67,31.75
6.35,0.7366,52.324,0.67,3.31,0.128740157,0.572664751,Zinc-Plated Spring-Tempered Steel,12,9654K109,10.37,31.75
7.62,0.7874,65.024,0.39,4.39,0.118110236,0.525380506,Music-Wire Steel,5,5108N319,17.32,31.75
7.62,0.9398,53.34,0.65,7.2,0.303149606,1.348476631,Music-Wire Steel,3,9044K112,9.12,31.75
7.62,1.2446,42.418,1.4,15.6,1.334645669,5.936799715,Music-Wire Steel,5,5108N337,15.67,31.75
7.62,1.397,39.624,1.92,21.31,2.492125984,11.08552867,Music-Wire Steel,5,5108N348,15.67,31.75
7.9502,0.7366,60.96,0.44,2.62,0.075590551,0.336243524,Zinc-Plated Spring-Tempered Steel,12,9654K117,10.73,31.75
7.9502,0.889,49.276,0.98,4.61,0.208267717,0.926420958,Zinc-Plated Spring-Tempered Steel,12,9654K125,10.73,31.75
9.144,0.6604,93.726,0.2,2.25,0.031496063,0.140101468,Music-Wire Steel,5,5108N355,16.27,31.75
9.144,0.7874,74.93,0.33,3.69,0.07480315,0.332740987,Music-Wire Steel,5,5108N362,16.27,31.75
9.144,0.8636,65.278,0.43,4.78,0.12992126,0.577918556,Music-Wire Steel,5,5108N373,15.67,31.75
9.144,0.9398,60.706,0.5,5.9,0.18503937,0.823096126,Music-Wire Steel,3,9044K223,5.89,31.75
9.144,0.9906,56.134,0.63,7.02,0.25984252,1.155837113,Music-Wire Steel,5,5108N401,16.37,31.75
9.144,1.0414,54.356,0.7,7.9,0.318897638,1.418527366,Music-Wire Steel,5,5108N413,15.67,31.75
9.144,1.143,49.022,0.9,10.2,0.535433071,2.381724959,Music-Wire Steel,3,9044K249,5.89,31.75
9.144,1.2446,45.974,1.2,13.2,0.850393701,3.782739641,Music-Wire Steel,5,5108N438,16.27,31.75
9.144,1.397,42.164,1.6,17.6,1.519685039,6.759895841,Music-Wire Steel,3,9044K114,9.12,31.75
9.144,1.4732,41.148,1.89,21.02,2.059055118,9.159133483,Music-Wire Steel,5,5108N467,15.95,31.75
9.525,0.889,52.578,0.64,3.79,0.150787402,0.670735779,Zinc-Plated Spring-Tempered Steel,12,9654K188,12.99,31.75
10.668,0.9398,62.484,0.5,5.2,0.153543307,0.682994657,Music-Wire Steel,5,5108N484,16.25,31.75
10.668,1.143,51.816,0.82,9.06,0.413385827,1.83883177,Music-Wire Steel,5,5108N495,16.55,31.75
10.668,1.397,44.45,1.4,15.8,1.141732283,5.078678222,Music-Wire Steel,5,5108N506,16.25,31.75
12.7,0.9398,67.31,0.4,4.4,0.11023622,0.490355139,Music-Wire Steel,5,5108N521,16.4,31.75
12.7,1.0414,59.436,0.5,5.8,0.188976378,0.840608809,Music-Wire Steel,5,5108N532,17.03,31.75
12.7,1.143,50.8,0.7,7.5,0.366141732,1.628679568,Music-Wire Steel,5,5108N545,16.45,31.75
12.7,1.397,44.45,1.2,13.1,0.960629921,4.27309478,Music-Wire Steel,5,5108N565,16.98,31.75
12.7,1.6002,41.402,1.7,18.8,1.846456693,8.213448573,Music-Wire Steel,3,5108N571,11.03,31.75
12.7,1.7018,42.418,4,27,2.165354331,9.631975939,Music-Wire Steel,1,8594N118,7.33,31.75
12.7,1.7526,39.37,2.18,24.21,2.913385827,12.95938581,Music-Wire Steel,3,5108N575,17.57,31.75
12.7,1.905,38.862,3,33,4.251968504,18.91369821,Music-Wire Steel,3,9654K208,11.27,31.75
3.048,0.3556,80.518,0.1,1.12,0.023622047,0.105076101,Music-Wire Steel,5,5108N071,11.4,34.93
3.048,0.4572,57.15,0.2,2.2,0.086614173,0.385279038,Music-Wire Steel,5,5108N086,11.17,34.93
3.048,0.5588,48.26,0.35,3.89,0.263779528,1.173349796,Music-Wire Steel,5,5108N109,11.4,34.93
4.572,0.4572,92.71,0.14,1.55,0.023622047,0.105076101,Music-Wire Steel,5,5108N121,15.97,34.93
4.572,0.508,79.248,0.19,2.08,0.043307087,0.192639519,Music-Wire Steel,5,5108N128,15.1,34.93
4.572,0.6604,56.896,0.4,4.2,0.177165354,0.788070759,Music-Wire Steel,5,5108N162,15.67,34.93
4.572,0.7366,51.562,0.52,5.82,0.31496063,1.401014682,Music-Wire Steel,5,5108N17,15.67,34.93
6.096,0.5588,96.012,0.19,2.07,0.031496063,0.140101468,Music-Wire Steel,5,5108N213,15.67,34.93
6.096,0.6604,75.184,0.3,3.3,0.070866142,0.315228303,Music-Wire Steel,5,5108N227,15.67,34.93
6.096,0.7366,65.786,0.4,4.5,0.12992126,0.577918556,Music-Wire Steel,5,5108N241,15.67,34.93
6.096,0.7874,59.944,0.5,5.3,0.188976378,0.840608809,Music-Wire Steel,5,5108N257,15.67,34.93
6.096,0.8636,55.372,0.65,7,0.307086614,1.365989315,Music-Wire Steel,5,5108N275,16.27,34.93
6.096,0.9398,51.054,0.8,8.7,0.488188976,2.171572757,Music-Wire Steel,5,5108N29,15.67,34.93
6.096,1.0414,47.244,1.05,11.65,0.846456693,3.765226958,Music-Wire Steel,5,5108N305,15.67,34.93
7.62,0.7874,73.914,0.39,4.39,0.102362205,0.455329772,Music-Wire Steel,5,5108N32,15.67,34.93
7.62,0.9398,60.325,0.65,7.2,0.25984252,1.155837113,Music-Wire Steel,3,9044K106,9.12,34.93
7.62,1.0922,56.388,1,12,0.511811024,2.276648858,Music-Wire Steel,1,8594N109,4.37,34.93
7.62,1.2446,46.99,1.4,15.6,1.153543307,5.131216273,Music-Wire Steel,5,5108N338,15.67,34.93
7.62,1.397,43.688,1.92,21.31,2.157480315,9.596950572,Music-Wire Steel,5,5108N349,16.27,34.93
9.144,0.6604,110.236,0.2,2.25,0.027559055,0.122588785,Music-Wire Steel,5,5108N356,15.67,34.93
9.144,0.7874,86.614,0.33,3.69,0.062992126,0.280202936,Music-Wire Steel,5,5108N363,15.67,34.93
9.144,0.8636,75.438,0.43,4.78,0.106299213,0.472842455,Music-Wire Steel,5,5108N374,15.67,34.93
9.144,0.9398,68.834,0.5,5.9,0.157480315,0.700507341,Music-Wire Steel,5,5108N389,15.97,34.93
9.144,0.9906,64.262,0.63,7.02,0.216535433,0.963197594,Music-Wire Steel,5,5108N402,15.67,34.93
9.144,1.0414,61.722,0.7,7.9,0.267716535,1.19086248,Music-Wire Steel,5,5108N414,16.27,34.93
9.144,1.143,55.88,0.9,10.2,0.440944882,1.961420555,Music-Wire Steel,5,5108N427,15.67,34.93
9.144,1.2446,51.562,1.2,13.2,0.712598425,3.169795718,Music-Wire Steel,5,5108N439,15.67,34.93
9.144,1.397,47.625,1.6,17.6,1.263779528,5.621571411,Music-Wire Steel,3,9044K116,9.12,34.93
9.144,1.4732,45.72,1.89,21.02,1.74015748,7.740606118,Music-Wire Steel,5,5108N468,16.57,34.93
10.668,0.9398,73.914,0.5,5.2,0.122047244,0.542893189,Music-Wire Steel,5,5108N485,16.25,34.93
10.668,1.397,50.292,1.4,15.8,0.92519685,4.115480628,Music-Wire Steel,5,5108N507,16.87,34.93
12.7,0.9398,81.28,0.4,4.4,0.082677165,0.367766354,Music-Wire Steel,5,5108N522,16.4,34.93
12.7,1.0414,71.882,0.5,5.8,0.141732283,0.630456607,Music-Wire Steel,5,5108N533,17.03,34.93
12.7,1.143,65.532,0.7,7.5,0.220472441,0.980710277,Music-Wire Steel,5,5108N546,16.4,34.93
12.7,1.2446,57.15,0.88,9.75,0.397637795,1.768781036,Music-Wire Steel,5,5108N555,16.98,34.93
12.7,1.6002,48.768,1.7,18.8,1.228346457,5.46395726,Music-Wire Steel,3,5108N572,10.63,34.93
12.7,1.905,43.18,2.75,30.51,3.330708661,14.81573026,Music-Wire Steel,3,5108N588,17.57,34.93
3.048,0.3556,89.154,0.1,1.12,0.019685039,0.087563418,Music-Wire Steel,5,5108N072,10.97,38.10
3.048,0.4064,71.628,0.2,1.6,0.039370079,0.175126835,Music-Wire Steel,5,5108N08,10.97,38.10
3.048,0.4572,62.738,0.2,2.2,0.078740157,0.35025367,Music-Wire Steel,5,5108N087,10.97,38.10
3.048,0.508,56.642,0.3,3,0.145669291,0.64796929,Music-Wire Steel,5,5108N098,11.4,38.10
3.048,0.5588,53.086,0.35,3.89,0.236220472,1.050761011,Music-Wire Steel,5,5108N11,10.97,38.10
3.5814,0.4064,68.072,0.21,0.99,0.025984252,0.115583711,Music-Wire Steel,12,9654K11,12.56,38.10
3.9624,0.508,58.674,0.4,1.67,0.061811024,0.274949131,Music-Wire Steel,12,9654K14,12.56,38.10
4.572,0.3556,159.512,0.07,0.77,0.005433071,0.024167503,Music-Wire Steel,5,5108N119,15.67,38.10
4.572,0.4572,103.124,0.14,1.55,0.019685039,0.087563418,Music-Wire Steel,3,9044K25,5.89,38.10
4.572,0.508,88.138,0.19,2.08,0.039370079,0.175126835,Music-Wire Steel,5,5108N129,16.27,38.10
4.572,0.5588,75.946,0.2,2.6,0.062992126,0.280202936,Music-Wire Steel,5,5108N138,17.32,38.10
4.572,0.6096,69.596,0.31,3.45,0.098425197,0.437817088,Music-Wire Steel,5,5108N15,17.32,38.10
4.572,0.6604,62.738,0.4,4.2,0.157480315,0.700507341,Music-Wire Steel,5,5108N163,15.67,38.10
4.572,0.7366,56.896,0.52,5.82,0.279527559,1.24340053,Music-Wire Steel,5,5108N171,15.67,38.10
4.572,0.7874,53.086,0.6,6.8,0.413385827,1.83883177,Music-Wire Steel,5,5108N184,15.67,38.10
4.572,0.8636,50.038,0.81,8.97,0.677165354,3.012181566,Music-Wire Steel,5,5108N197,15.67,38.10
4.7752,0.381,111.506,0.08,0.63,0.007480315,0.033274099,Music-Wire Steel,12,9654K17,13.01,38.10
4.7752,0.4064,98.298,0.11,0.75,0.010629921,0.047284246,Music-Wire Steel,12,9654K815,13.4,38.10
4.7752,0.5842,63.754,0.53,2.43,0.07480315,0.332740987,Zinc-Plated Spring-Tempered Steel,12,9654K103,8.65,38.10
4.7752,0.635,54.61,0.68,2.62,0.118110236,0.525380506,Music-Wire Steel,12,9654K818,12.94,38.10
5.5626,0.4064,123.19,0.08,0.65,0.006692913,0.029771562,Music-Wire Steel,12,9654K412,13.25,38.10
5.5626,0.508,83.566,0.2,1.22,0.022440945,0.099822296,Music-Wire Steel,12,9654K31,12.78,38.10
5.5626,0.5842,68.58,0.36,1.8,0.047244094,0.210152202,Music-Wire Steel,12,9654K416,13.17,38.10
6.096,0.4572,152.146,0.11,1.18,0.007874016,0.035025367,Music-Wire Steel,5,5108N204,15.67,38.10
6.096,0.5588,108.204,0.19,2.07,0.027559055,0.122588785,Music-Wire Steel,5,5108N214,16.27,38.10
6.096,0.6604,83.312,0.3,3.3,0.062992126,0.280202936,Music-Wire Steel,5,5108N228,17.32,38.10
6.096,0.7366,73.406,0.4,4.5,0.114173228,0.507867822,Music-Wire Steel,3,9044K125,5.89,38.10
6.096,0.7874,67.056,0.5,5.3,0.165354331,0.735532708,Music-Wire Steel,5,5108N258,15.67,38.10
6.096,0.8636,61.468,0.65,7,0.271653543,1.208375163,Music-Wire Steel,5,5108N276,15.67,38.10
6.096,0.9398,55.88,0.8,8.7,0.440944882,1.961420555,Music-Wire Steel,5,5108N291,15.67,38.10
6.096,1.0414,52.324,1.05,11.65,0.748031496,3.32740987,Music-Wire Steel,5,5108N306,15.67,38.10
6.35,0.381,159.512,0.04,0.47,0.003543307,0.015761415,Music-Wire Steel,12,9654K511,13.88,38.10
6.35,0.508,98.044,0.15,1.07,0.015354331,0.068299466,Music-Wire Steel,12,9654K514,13.4,38.10
6.35,0.5842,79.248,0.27,1.58,0.031889764,0.141852737,Music-Wire Steel,12,9654K517,13.18,38.10
6.35,0.7366,64.516,0.67,3.37,0.102362205,0.455329772,Zinc-Plated Spring-Tempered Steel,12,9654K111,10.37,38.10
7.1374,0.4064,170.688,0.04,0.51,0.003543307,0.015761415,Music-Wire Steel,12,9654K47,13.88,38.10
7.1374,0.635,79.248,0.3,1.79,0.036220472,0.161116688,Music-Wire Steel,12,9654K51,13.17,38.10
7.62,0.7874,83.566,0.39,4.39,0.086614173,0.385279038,Music-Wire Steel,5,5108N321,15.67,38.10
7.62,0.9398,67.31,0.65,7.2,0.224409449,0.998222961,Music-Wire Steel,5,5108N329,15.67,38.10
7.62,1.2446,52.324,1.4,15.6,1.003937008,4.465734299,Music-Wire Steel,5,5108N339,15.67,38.10
7.62,1.397,48.26,1.92,21.31,1.885826772,8.388575408,Music-Wire Steel,3,9044K203,5.89,38.10
7.9502,0.508,128.27,0.08,0.86,0.008661417,0.038527904,Music-Wire Steel,12,9654K614,13.66,38.10
7.9502,0.5842,101.346,0.16,1.28,0.017716535,0.078807076,Music-Wire Steel,12,9654K617,13.4,38.10
7.9502,0.635,88.646,0.23,1.62,0.027559055,0.122588785,Music-Wire Steel,12,9654K711,13.4,38.10
7.9502,0.7366,79.248,0.44,2.62,0.053543307,0.238172496,Zinc-Plated Spring-Tempered Steel,12,9654K118,11.2,38.10
7.9502,0.889,62.23,0.98,4.67,0.153937008,0.684745926,Zinc-Plated Spring-Tempered Steel,12,9654K126,11.2,38.10
8.7376,0.635,98.044,0.18,1.48,0.021653543,0.096319759,Music-Wire Steel,12,9654K716,13.4,38.10
8.7376,0.7112,81.28,0.31,2.03,0.03976378,0.176878104,Music-Wire Steel,12,9654K912,13.17,38.10
9.144,0.6604,128.27,0.2,2.25,0.023622047,0.105076101,Music-Wire Steel,5,5108N357,15.67,38.10
9.144,0.7874,96.774,0.33,3.69,0.05511811,0.245177569,Music-Wire Steel,5,5108N364,15.97,38.10
9.144,0.8636,86.36,0.43,4.78,0.090551181,0.402791721,Music-Wire Steel,5,5108N375,15.67,38.10
9.144,0.9398,77.724,0.5,5.9,0.133858268,0.59543124,Music-Wire Steel,3,9044K227,5.89,38.10
9.144,0.9906,72.898,0.63,7.02,0.18503937,0.823096126,Music-Wire Steel,5,5108N403,16.27,38.10
9.144,1.0414,69.088,0.7,7.9,0.232283465,1.033248328,Music-Wire Steel,5,5108N415,15.97,38.10
9.144,1.143,62.738,0.9,10.2,0.377952756,1.681217618,Music-Wire Steel,3,9044K253,5.89,38.10
9.144,1.2446,57.912,1.2,13.2,0.606299213,2.696953263,Music-Wire Steel,5,5108N44,15.67,38.10
9.144,1.397,52.324,1.6,17.6,1.118110236,4.973602121,Music-Wire Steel,5,5108N455,17.32,38.10
9.144,1.4732,51.054,1.89,21.02,1.488188976,6.619794372,Music-Wire Steel,5,5108N469,15.95,38.10
9.525,0.889,72.39,0.64,3.76,0.091732283,0.408045526,Zinc-Plated Spring-Tempered Steel,12,9654K355,11.2,38.10
9.525,1.2192,52.578,2.38,9.59,0.496850394,2.210100661,Zinc-Plated Spring-Tempered Steel,3,9654K197,3.33,38.10
10.668,0.9398,86.106,0.5,5.2,0.098425197,0.437817088,Music-Wire Steel,5,5108N486,16.25,38.10
10.668,1.143,68.326,0.82,9.06,0.271653543,1.208375163,Music-Wire Steel,5,5108N497,16.25,38.10
10.668,1.397,56.896,1.4,15.8,0.767716535,3.414973287,Music-Wire Steel,5,5108N508,16.25,38.10
12.7,0.8636,102.616,0.31,3.49,0.051181102,0.227664886,Music-Wire Steel,5,5108N517,18.13,38.10
12.7,0.9398,104.14,0.4,4.8,0.066929134,0.29771562,Music-Wire Steel,3,9654K306,10.24,38.10
12.7,1.0414,84.328,0.5,5.8,0.114173228,0.507867822,Music-Wire Steel,5,5108N534,16.73,38.10
12.7,1.143,74.676,0.7,7.5,0.181102362,0.805583442,Music-Wire Steel,5,5108N547,16.4,38.10
12.7,1.2446,71.12,0.9,11,0.295275591,1.313451264,Music-Wire Steel,3,9654K314,11.45,38.10
12.7,1.397,61.214,1.2,13.1,0.511811024,2.276648858,Music-Wire Steel,5,5108N567,16.98,38.10
12.7,1.6002,55.118,1.7,18.8,1.003937008,4.465734299,Music-Wire Steel,3,9044K365,6.98,38.10
12.7,1.7526,50.546,2.18,24.21,1.779527559,7.915732953,Music-Wire Steel,3,5108N577,16.93,38.10
12.7,1.905,49.276,3,33,2.755905512,12.25887847,Music-Wire Steel,3,9654K317,11.39,38.10
16.51,1.6002,52.324,1.4,14.8,0.976377953,4.343145514,Music-Wire Steel,3,5108N605,11.82,38.10
16.51,1.6002,75.692,2.1,16.5,0.383464567,1.705735375,Music-Wire Steel,1,9044K416,4.67,38.10
4.572,0.4572,127.762,0.1,1.7,0.017716535,0.078807076,Music-Wire Steel,1,8594N102,3.9,41.28
3.048,0.4064,87.63,0.2,1.6,0.035433071,0.157614152,Music-Wire Steel,5,5108N081,10.97,44.45
3.048,0.4572,73.66,0.2,2.2,0.066929134,0.29771562,Music-Wire Steel,5,5108N088,10.97,44.45
3.048,0.508,66.548,0.3,3,0.122047244,0.542893189,Music-Wire Steel,5,5108N099,11.77,44.45
3.048,0.5588,62.23,0.35,3.89,0.196850394,0.875634176,Music-Wire Steel,5,5108N111,11.4,44.45
4.572,0.4572,123.444,0.14,1.55,0.019685039,0.087563418,Music-Wire Steel,5,5108N122,16.27,44.45
4.572,0.508,105.156,0.19,2.08,0.031496063,0.140101468,Music-Wire Steel,5,5108N13,15.67,44.45
4.572,0.5588,90.17,0.2,2.6,0.051181102,0.227664886,Music-Wire Steel,5,5108N139,15.67,44.45
4.572,0.6096,82.55,0.31,3.45,0.082677165,0.367766354,Music-Wire Steel,5,5108N151,15.67,44.45
4.7752,0.5842,73.914,0.53,2.33,0.061811024,0.274949131,Zinc-Plated Spring-Tempered Steel,12,9654K104,9.24,44.45
6.096,0.4572,222.25,0.1,1.3,0.006692913,0.029771562,Music-Wire Steel,1,8594N103,4.37,44.45
6.096,0.5588,131.064,0.19,2.07,0.023622047,0.105076101,Music-Wire Steel,5,5108N215,16.27,44.45
6.096,0.6604,100.33,0.3,3.3,0.051181102,0.227664886,Music-Wire Steel,5,5108N229,15.67,44.45
6.096,0.7366,88.138,0.4,4.5,0.094488189,0.420304405,Music-Wire Steel,3,9044K127,5.89,44.45
6.096,0.7874,80.01,0.5,5.3,0.133858268,0.59543124,Music-Wire Steel,5,5108N259,15.67,44.45
6.096,0.8636,73.406,0.65,7,0.220472441,0.980710277,Music-Wire Steel,5,5108N277,17.32,44.45
6.096,0.9398,66.802,0.8,8.7,0.350393701,1.558628834,Music-Wire Steel,3,9044K153,5.89,44.45
6.096,1.0414,61.722,1.05,11.65,0.61023622,2.714465946,Music-Wire Steel,5,5108N307,16.27,44.45
6.35,0.7366,78.232,0.67,3.35,0.079133858,0.352004939,Zinc-Plated Spring-Tempered Steel,12,9654K318,10.26,44.45
7.62,0.7874,101.854,0.39,4.39,0.070866142,0.315228303,Music-Wire Steel,5,5108N322,16.27,44.45
7.62,0.9398,81.28,0.65,7.2,0.177165354,0.788070759,Music-Wire Steel,5,5108N33,16.27,44.45
7.62,1.0922,74.93,1,12,0.354330709,1.576141517,Music-Wire Steel,1,8594N11,4.45,44.45
7.62,1.2446,61.976,1.4,15.6,0.803149606,3.572587439,Music-Wire Steel,5,5108N34,15.67,44.45
7.62,1.397,57.15,1.92,21.31,1.515748031,6.742383157,Music-Wire Steel,5,5108N35,15.67,44.45
7.9502,0.7366,93.726,0.44,2.61,0.044488189,0.197893324,Zinc-Plated Spring-Tempered Steel,12,9654K119,11.69,44.45
7.9502,0.889,75.692,0.98,4.64,0.118110236,0.525380506,Zinc-Plated Spring-Tempered Steel,12,9654K127,11.69,44.45
9.144,0.6604,163.068,0.2,2.25,0.015748031,0.070050734,Music-Wire Steel,5,5108N358,15.67,44.45
9.144,0.7874,122.936,0.33,3.69,0.043307087,0.192639519,Music-Wire Steel,5,5108N365,15.67,44.45
9.144,0.8636,107.442,0.43,4.78,0.070866142,0.315228303,Music-Wire Steel,5,5108N376,15.15,44.45
9.144,0.9398,95.758,0.5,5.9,0.102362205,0.455329772,Music-Wire Steel,5,5108N39,15.67,44.45
9.144,0.9906,89.662,0.63,7.02,0.141732283,0.630456607,Music-Wire Steel,5,5108N404,16.25,44.45
9.144,1.0414,83.82,0.7,7.9,0.181102362,0.805583442,Music-Wire Steel,5,5108N416,17.32,44.45
9.144,1.143,75.692,0.9,10.2,0.295275591,1.313451264,Music-Wire Steel,5,5108N428,16.27,44.45
9.144,1.2446,69.85,1.2,13.2,0.472440945,2.101522023,Music-Wire Steel,5,5108N441,15.67,44.45
9.144,1.4732,60.96,1.89,21.02,1.169291339,5.201267007,Music-Wire Steel,5,5108N47,15.95,44.45
9.525,0.889,87.376,0.64,3.8,0.073622047,0.327487182,Zinc-Plated Spring-Tempered Steel,12,9654K191,11.69,44.45
9.525,1.2192,63.246,2.38,9.54,0.381496063,1.696979034,Zinc-Plated Spring-Tempered Steel,3,9654K198,3.45,44.45
10.668,0.9398,109.474,0.5,5.2,0.07480315,0.332740987,Music-Wire Steel,5,5108N487,16.87,44.45
10.668,1.143,85.09,0.82,9.06,0.200787402,0.89314686,Music-Wire Steel,5,5108N498,16.25,44.45
10.668,1.397,69.342,1.4,15.8,0.578740157,2.574364478,Music-Wire Steel,5,5108N509,16.25,44.45
12.7,0.8636,140.208,0.31,3.49,0.031496063,0.140101468,Music-Wire Steel,5,5108N518,17.03,44.45
12.7,0.9398,126.492,0.4,4.4,0.047244094,0.210152202,Music-Wire Steel,5,5108N523,16.4,44.45
12.7,1.0414,108.966,0.5,5.8,0.078740157,0.35025367,Music-Wire Steel,5,5108N535,16.4,44.45
12.7,1.143,96.266,0.7,7.5,0.12992126,0.577918556,Music-Wire Steel,3,9044K319,6.27,44.45
12.7,1.2446,92.71,0.9,11,0.208661417,0.928172227,Music-Wire Steel,3,9654K398,11.64,44.45
12.7,1.397,80.01,1,14,0.362204724,1.611166884,Music-Wire Steel,3,9654K421,11.03,44.45
12.7,1.6002,67.564,1.7,18.8,0.736220472,3.274871819,Music-Wire Steel,3,9044K367,6.98,44.45
12.7,1.6002,69.85,2,21,0.748031496,3.32740987,Music-Wire Steel,3,9654K464,10.38,44.45
12.7,1.7526,62.23,2.18,24.21,1.232283465,5.481469943,Music-Wire Steel,3,5108N578,16.93,44.45
12.7,1.905,59.944,3,33,1.929133858,8.581214927,Music-Wire Steel,3,9654K465,11.54,44.45
15.875,1.397,90.17,1,12,0.24015748,1.068273695,Music-Wire Steel,1,8594N119,5.42,44.45
15.875,1.6002,80.01,1,17,0.472440945,2.101522023,Music-Wire Steel,1,8594N127,5.56,44.45
15.875,1.7526,72.39,2,23,0.748031496,3.32740987,Music-Wire Steel,1,8594N137,6.8,44.45
16.51,1.397,80.264,0.9,10.1,0.267716535,1.19086248,Music-Wire Steel,3,5108N597,11.5,44.45
16.51,1.397,118.11,1.18,11.25,0.136614173,0.607690118,Music-Wire Steel,1,9044K412,4.74,44.45
