OD,Dia.,Lg. Max,Min.,Max.,"Rate, lbs./mm",Rate N/mm,Material,Pkg. Qty.,Part Number,Pkg.,Lg.
6,0.55,57.2,0.22,2.14,0.052,0.231307524,Music-Wire Steel,2,3630N137,12.03,12.00
6.3,0.9,34.4,1.49,8.34,0.596,2.651140083,Music-Wire Steel,2,3630N152,13.28,13.00
8.5,1.2,32.85,2.59,14.12,1.221,5.431278592,Music-Wire Steel,2,3630N208,13.28,13.00
10,0.9,46.1,0.57,5.4,0.198,0.88074788,Music-Wire Steel,2,3630N233,12.3,12.00
5,0.7,39.6,0.87,5.08,0.277,1.232157387,Music-Wire Steel,2,5108N997,12.38,12.00
3.5,0.5,41.8,0.46,2.7,0.133,0.591613475,Music-Wire Steel,2,5108N952,13.28,13.00
7,1,38.1,1.84,10.18,0.661,2.940274488,Music-Wire Steel,2,3630N169,12.03,12.00
8,1.6,30.18,8.71,32.82,5.71,25.39934542,Music-Wire Steel,2,3630N201,12.9,12.00
11,1,50.2,0.72,6.65,0.229,1.01864275,Music-Wire Steel,2,3630N258,12.3,12.00
7,0.63,67.2,0.28,2.74,0.056,0.24910041,Music-Wire Steel,2,3630N161,13.28,13.00
6,1.2,32.28,4.9,19.18,2.698,12.00130192,Music-Wire Steel,2,3630N145,12.03,12.00
5.5,0.8,43,1.22,6.79,0.36,1.601359782,Music-Wire Steel,2,3630N121,12.03,12.00
5.5,0.5,80,0.18,1.75,0.029,0.128998427,Music-Wire Steel,2,3630N113,13.28,13.00
7.5,0.7,70.2,0.38,3.46,0.07,0.311375513,Music-Wire Steel,2,3630N186,13.28,13.00
3.5,0.7,36.78,1.67,6.9,0.69,3.069272915,Music-Wire Steel,2,5108N969,12.47,12.00
11,1.6,41.8,4.87,24.95,1.807,8.037936459,Music-Wire Steel,2,3630N267,12.9,12.00
13,1.2,58.1,1.08,9.49,0.288,1.281087825,Music-Wire Steel,2,3630N299,13.12,13.00
6,0.55,86.6,0.22,2.14,0.034,0.151239535,Music-Wire Steel,2,3630N138,12.03,12.00
7,1.4,37.48,6.67,25.63,3.125,13.90069255,Music-Wire Steel,2,3630N178,12.03,12.00
6.3,0.9,49.2,1.49,8.34,0.382,1.699220657,Music-Wire Steel,2,3630N153,13.28,13.00
5,1,38.92,3.4,13.67,1.432,6.369853353,Music-Wire Steel,2,3630N105,12.25,12.00
4.5,0.63,53.6,0.7,4.11,0.157,0.698370794,Music-Wire Steel,2,5108N983,12.47,12.00
10,2,37.46,13.61,49.46,7.149,31.80033633,Music-Wire Steel,1,3630N251,10.53,10.00
9,0.8,86.1,0.44,4.27,0.067,0.298030848,Music-Wire Steel,2,3630N219,13.28,13.00
7,1,54.4,1.84,10.18,0.411,1.828219084,Music-Wire Steel,2,3630N17,13.28,13.00
5,0.7,59.5,0.87,5.08,0.173,0.769542339,Music-Wire Steel,2,5108N998,13.28,13.00
8,1.6,42.71,8.71,32.82,3.574,15.89794405,Music-Wire Steel,2,3630N202,12.43,12.00
7,0.63,101.5,0.28,2.74,0.036,0.160135978,Music-Wire Steel,2,3630N162,13.28,13.00
10,1.4,53.8,3.47,18.79,0.861,3.829918811,Music-Wire Steel,2,3630N243,13.35,13.00
10,0.9,94.1,0.57,5.4,0.079,0.351409508,Music-Wire Steel,2,3630N235,12.07,12.00
7.5,1.1,57.9,2.34,12.48,0.513,2.281937689,Music-Wire Steel,2,3630N195,12.03,12.00
5.5,0.5,116.1,0.18,1.75,0.02,0.088964432,Music-Wire Steel,2,3630N114,12.25,12.00
2.5,0.5,48.94,0.85,3.62,0.252,1.120951847,Music-Wire Steel,2,5108N933,13.32,13.00
14,2,52.7,7.35,36.87,2.118,9.421333381,Music-Wire Steel,1,3630N315,10.75,10.00
7.5,0.7,106,0.38,3.46,0.045,0.200169973,Music-Wire Steel,2,3630N187,13.28,13.00
5.5,0.8,64.6,1.22,6.79,0.225,1.000849863,Music-Wire Steel,2,3630N122,$13.28 ,13.00
11,1,102.3,0.72,6.65,0.092,0.409236389,Music-Wire Steel,2,3630N26,13.35,13.00
8.5,1.2,65.6,2.59,14.12,0.488,2.170732148,Music-Wire Steel,2,3630N21,12.03,12.00
10,2,52.98,13.61,49.46,4.474,19.90134351,Music-Wire Steel,1,3630N252,10.53,10.00
12,1.8,63,6.53,31.7,1.412,6.280888921,Music-Wire Steel,2,3630N292,12.3,12.00
7,0.63,147.3,0.28,2.74,0.025,0.11120554,Music-Wire Steel,2,3630N163,12.25,12.00
7,1,81.7,1.84,10.18,0.265,1.178778728,Music-Wire Steel,2,3630N171,13.28,13.00
8,1.6,61.5,8.71,32.82,2.293,10.19977216,Music-Wire Steel,2,3630N203,13.72,13.00
10,0.9,142.2,0.57,5.4,0.052,0.231307524,Music-Wire Steel,2,3630N236,12.3,12.00
14,2,73.6,7.35,36.87,1.322,5.880548975,Music-Wire Steel,1,3630N316,10.75,10.00
6,1.2,62.43,4.9,19.18,1.176,5.23110862,Music-Wire Steel,2,3630N147,12.6,12.00
11,1.6,83.4,4.87,24.95,0.724,3.220512449,Music-Wire Steel,2,3630N269,12.43,12.00
15,2.2,78.1,9.35,44.51,1.596,7.099361698,Music-Wire Steel,1,3630N338,10.27,10.00
13,2.5,67.8,19.84,71.26,4.833,21.49825507,Music-Wire Steel,1,3630N309,9.9,9.00
11,1,154.4,0.72,6.65,0.058,0.257996854,Music-Wire Steel,2,3630N261,12.07,12.00
15,1.4,134,1.5,12.84,0.139,0.618302805,Music-Wire Steel,2,3630N331,14.25,14.00
12,1.8,89.9,6.53,31.7,0.904,4.02119234,Music-Wire Steel,2,3630N293,12.07,12.00
12,1.1,166.8,0.89,8.05,0.063,0.280237962,Music-Wire Steel,2,3630N285,12.53,12.00
14,2.8,73.2,26.68,89.92,6.272,27.89924597,Music-Wire Steel,1,3630N323,10.75,10.00
10,2,76.3,13.61,49.46,2.878,12.80198181,Music-Wire Steel,1,3630N253,10.53,10.00
20,4,73.3,54.45,170.18,14.298,63.60067266,Music-Wire Steel,1,3630N386,11.57,11.00
14,2,104.9,7.35,36.87,0.848,3.77209193,Music-Wire Steel,1,3630N317,10.75,10.00
22,4.5,80.7,71.72,213.79,17.513,77.90170515,Music-Wire Steel,1,3630N404,12.32,12.00
9,1.8,92.07,11.03,40.47,1.767,7.860007594,Music-Wire Steel,2,3630N229,13.97,13.00
11,1,224.4,0.72,6.65,0.038,0.169032421,Music-Wire Steel,2,3630N262,12.07,12.00
28,4,101.4,29.41,126.79,4.226,18.79818455,Music-Wire Steel,1,3630N432,11.57,11.00
15,1.4,201.9,1.5,12.84,0.088,0.391443502,Music-Wire Steel,2,3630N332,14.25,14.00
11,1.6,124.9,4.87,24.95,0.452,2.01059617,Music-Wire Steel,2,3630N27,12.65,12.00
25,5,90.9,85.08,249.54,17.872,79.49861671,Music-Wire Steel,1,3630N421,12.5,12.00
6.3,0.9,138.39,1.49,8.34,0.117,0.520441929,Music-Wire Steel,2,3630N156,12.45,12.00
4,0.8,106.87,2.18,8.97,0.286,1.272191382,Music-Wire Steel,2,5108N979,12.88,12.00
18,2.5,133.1,10.89,53.28,0.96,4.270292751,Music-Wire Steel,1,3630N36,10.65,10.00
12,1.8,134.8,6.53,31.7,0.567,2.522141656,Music-Wire Steel,2,3630N294,13.77,13.00
20,4,103.4,54.45,170.18,8.925,39.70037792,Music-Wire Steel,1,3630N387,11.57,11.00
17,1.6,224.7,2,16.64,0.103,0.458166826,Music-Wire Steel,2,3630N353,17.52,17.00
24,2.2,206.6,3.56,28.55,0.207,0.920781874,Music-Wire Steel,1,3630N411,11.17,11.00
